noc,description,duties,titles,related_occupations
NOC 9533,"Other wood products assemblers assemble a variety of wood products and millwork, such as window sashes and doors. Inspectors inspect wood products to ensure product quality. They are employed by establishments engaged in manufacturing a variety of wood and millwork products.","['Other wood products assemblers', 'Read production orders and diagrams', 'Trim and sand joints, moulding, or other wooden parts to be assembled using hand and power tools', 'Assemble wood products such as window sashes, doors, boxes, pallets, ladders and barrels using glue, staples, screws, bolts or other fasteners', 'Assemble door panels, trusses, modular components and other parts on assembly line to make prefabricated housing using jigs, overhead cranes and hand and power tools', 'Reinforce assembled products with dowelling or other supports, and install hardware such as knobs and hinges', 'May assist with maintenance of machinery.', 'Other wood products inspectors', 'Inspect wood products for conformance to quality standards', 'Mark defective parts or products for repair', 'Make minor adjustments and repairs', 'Record information on products inspected.']","['wood products assembling inspector', 'wooden box assembler', 'crate builder, wood', 'wooden door maker', 'manufactured housing production worker', 'pallet maker, wood', 'prefabricated housing assembler', 'wood products assembler', 'bench assembler, wood products', 'millwork assembler', 'sash and door inspector']","['Supervisors, other products manufacturing and assembly', 'Furniture and fixture assemblers and inspectors', 'Other labourers in processing, manufacturing and utilities', 'Carpenters', 'Cabinetmakers', 'Woodworking machine operators']"
NOC 9536,"Industrial painters and coaters operate and tend machines or use brushes and spray equipment to apply paint, enamel, lacquer or other non-metallic protective and decorative coatings to surfaces of various products. Metal finishing process operators operate machines or equipment to deposit metallized substances on workpieces and surfaces to provide decorative, protective and restorative coatings. These workers are employed by manufacturing companies and custom refinishing, coating and plating shops.","['Industrial painters and coaters', 'Select appropriate paint or mix paints using automated paint mixing equipment according to a predetermined formula', 'Operate or tend equipment to clean, wash, strip, sand, remove corrosion, fill dents or otherwise prepare items for application of paint, lacquer or other protective or decorative coatings', 'Operate or tend automated spray paint, dip or flow coating equipment or other mechanized painting or product coating application equipment', 'Operate hand-held spray guns to spray paint or coat stationary items or items on moving conveyor system with protective or decorative coatings', 'Paint small items and apply touch-ups using paint brushes', 'Clean and maintain painting and coating, ventilation, compressed air and personal protective equipment', 'May prepare and apply stencils, computer-generated decals or other decorative items on finished products.', 'Industrial metal finishing process operators', 'Prepare and mix metallizing solutions according to formulas or specifications', 'Operate or tend equipment to clean, degrease, pickle and etch metal and non-metal surfaces to prepare workpieces with desired surface characteristics', 'Tend automatic metal coating machines which convey objects through a series of cleaning, rinsing and plating solutions', 'Operate and control electroplating equipment to coat metal and other workpieces', 'Operate hot-dip metal plating equipment to galvanize metal and other workpieces', 'Operate spray equipment to build up worn or damaged parts or to bond protective or decorative coatings on various objects', 'Check proper thickness of plating using micrometers, calipers or other devices', 'May operate equipment to polish metallic surfaces of products', 'May tend ovens which cure metal coating.']","['automatic paint-sprayer operator', 'ceramic and enamel refinisher', 'painter, assembly line', 'production painter-finisher', 'electrogalvanizing machine operator', 'hot-dip galvanizer - metal plating', 'automobile painter - motor vehicle manufacturing', 'coating machine operator - industrial painting and coating', 'aviation painter', 'industrial products painter', 'spray paint operator', 'metal electroplater', 'enameller - ship and boat building', 'metal coater operator']","['Supervisors, plastic and rubber products manufacturing', 'Supervisors, motor vehicle assembling', 'Furniture finishers and refinishers', 'Painters and decorators (except interior decorators)', 'Motor vehicle body repairers', 'Machining tool operators', 'Supervisors, other mechanical and metal products manufacturing']"
NOC 9417,Machining tool operators set up and operate or tend metal-cutting machines designed for repetitive machining work. They are employed by metal products and other manufacturing companies and in machine shops. This unit group also includes workers who etch or chemically mill metal pieces.,"['Study job orders and interpret blueprints to determine machining operations to be performed', 'Set up and operate machine tools to perform repetitive machining operations, such as turning, milling, drilling, boring, planing, honing, broaching, grinding or other machining operations', 'Verify dimensions of parts machined using micrometers, callipers and other precision measuring instruments', 'Prepare etching solution and immerse metal parts or workpiece in etching solution to remove unwanted portions', 'Perform routine maintenance on equipment and machinery', 'May enter codes specifying speed, feed and cut of the toolpath for computer numerical controlled (CNC) machine tools.']","['aircraft parts etcher', 'boring mill operator - metal machining', 'lathe machining operator', 'machining tool operator', 'production gear cutter', 'production grinder operator - metal machining', 'radial drill operator - metal machining', 'CNC machining tool operator', 'milling machine set-up operator']","['Tool and die makers', 'Machinists and machining and tooling inspectors', 'Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations', 'Industrial engineering and manufacturing technologists and technicians']"
NOC 1423,"Desktop publishing operators and workers in related occupations use computers to enter copy into a typesetting system or operate typesetting output equipment to produce text that is ready to print. They are employed by firms that specialize in typesetting, commercial printing companies, publishing and printing companies and various establishments in the public and private sectors that have in-house printing departments.","['Desktop publishing operators', 'Operate desktop publishing software and equipment to design, lay out and produce camera-ready copy and may perform pre-flight operator duties.', 'Markup persons', 'Mark copy with computer codes and typographic instructions before it is typeset.', 'Typesetting input operators', 'Input copy, codes or commands and subsequent corrections into typesetting device or system; operate media conversion equipment to process and format copy transmitted through telecommunications.', 'Typesetting output operators', 'Operate and tend typesetting output devices, load and process photosensitive material and perform routine maintenance.']","['photocomposition typesetter', 'compositor - typesetting', 'copy marker - typesetting', 'markup person', 'phototypesetter operator', 'input operator - typesetting', 'output operator - typesetting', 'typographer', 'computer typesetter', 'desktop compositor', 'desktop publishing (DTP) operator', 'braille keyboard operator']","['Supervisors, general office and administrative support workers', 'Correspondence, publication and regulatory clerks', 'Graphic designers and illustrators', 'Graphic arts technicians', 'Camera, platemaking and other prepress occupations']"
NOC 1435,"Collectors collect payments on overdue accounts and bad cheques and locate debtors to make collection arrangements. They are employed by collection agencies, utility companies, department stores, loan companies, banks and credit unions, and by financial and licensing departments within governments.","['Notify debtors of overdue payments and accounts by telephone, mail, and registered mail, and continue the notification process if reply is not received', 'Resolve collection issues by making payment arrangements by telephone or visit to debtor', 'Recommend further action or discontinuation of service in cases where payment is not forthcoming', ""Trace and locate debtors, and may contact debtors' friends, neighbours, relatives and employers to obtain information"", 'Answer correspondence, prepare reports and maintain records and files related to collection work', 'May work with on-line accounts and systems.']","['collection officer (except taxation)', 'locator - collection', 'skip tracer - collection', 'collector', 'bill collector', 'collection clerk', 'collections investigation officer', 'credit and collection clerk']","['Supervisors, finance and insurance office workers', 'Employment insurance, immigration, border services and revenue officers', 'Accounting and related clerks']"
NOC 1522,"Storekeepers and partspersons sort, store and issue parts and supplies for use by the establishment in which they work and for sale to the public. They are employed by manufacturing companies, warehouses, retail and wholesale establishments, mining, forestry and construction companies, repair shops, hospitals and other establishments.","['Receive and sort incoming parts and supplies', 'Store items in an orderly and accessible manner in a warehouse, tool room, supply room or other area', 'Process incoming requisitions and issue or distribute parts and supplies for internal usage', 'Maintain records of orders and the amount, kind and location of parts and supplies on hand using manual or computerized inventory system', 'Prepare requisition orders to replenish parts and supplies', 'Sell spare and replacement parts for motor vehicles, machinery and equipment in a retail setting', 'Advise retail customers or internal users on appropriateness of parts, supplies or materials requested.', 'Partspersons may specialize in a particular line of parts such as automotive parts, recreational vehicle parts, marine parts, heavy equipment parts, agricultural machinery parts, heating, ventilating and air conditioning parts or refrigeration parts.']","['automotive partsperson - retail', 'parts clerk', 'partsperson', 'parts supplier', 'ship storeman/woman', 'storekeeper', 'tool room attendant', 'ammunition storekeeper', 'material keeper', 'medical supply clerk', 'motor vehicle parts clerk']","['Supervisors, supply chain, tracking and scheduling co-ordination occupations', 'Shippers and receivers', 'Purchasing and inventory control workers']"
NOC 1525,"Dispatchers operate radios and other telecommunication equipment to dispatch emergency vehicles and to co-ordinate the activities of drivers and other personnel. They are employed by police, fire and health departments, other emergency service agencies, taxi, delivery and courier services, trucking and utilities companies, and other commercial and industrial establishments.","['Receive requests for emergency assistance or service and contact ambulances, police and fire departments, tow-trucks, and utility crews', 'Process and transmit information and instructions to co-ordinate the activities of vehicle operators, crews and equipment using a variety of computer-aided communications and dispatching equipment', 'Dispatch personnel according to written schedules and work orders, or as required by emergency situations', 'Advise vehicle operators of route and traffic problems such as construction, accidents, congestion, weather conditions, weight and size restrictions and other information', 'Operate radio equipment to communicate with ships, aircraft, mining crews, offshore oil rigs, logging camps and other remote operations', 'Monitor personnel workloads and locations', 'Maintain vehicle operator work records using computerized or manual methods and ensure time sheets and payroll summaries are completed accurately', 'Maintain computer and manual records of mileage, fuel use, repairs and other expenses, and generate reports.']","['911 dispatcher', 'alarm system dispatcher', 'ambulance dispatcher', 'taxi dispatcher', 'tow truck dispatcher', 'mobile equipment dispatcher', 'truck dispatcher', 'utilities maintenance crew dispatcher', 'emergency vehicle dispatcher', 'radio operator', 'inbound/outbound freight co-ordinator']","['Supervisors, supply chain, tracking and scheduling co-ordination occupations', 'Supervisors, motor transport and other ground transit operators', 'Railway traffic controllers and marine traffic regulators', 'Air traffic controllers and related occupations']"
NOC 9435,"Paper converting machine operators operate various machines which fabricate and assemble paper products such as paper bags, containers, boxes, envelopes and similar articles. They are employed by paper products manufacturing companies.","['Operate machines which cut, fold, glue or clip paper and cardboard to make boxes, corrugated cartons and other articles', 'Operate machines which glue paper to cardboard and cut it into required lengths', 'Operate machines which press paper to form drinking cups and other containers', 'Operate machines which cut, glue and fold paper to make envelopes or paper bags', 'Operate other paper converting machines to form products such as paper tubes, cards, paper towels or diapers', 'Clean and lubricate machine and perform other routine machine maintenance', 'Set up machines.']","['envelope maker operator', 'paper bag machine operator', 'paper box machine operator', 'box maker operator', 'carton forming machine operator', 'core maker - paper converting']","['Printing press operators', 'Plateless printing equipment operators', 'Papermaking and finishing machine operators']"
NOC 9442,"Weavers, knitters and other workers in fabric making occupations operate machines to process yarn or thread into woven, non-woven and knitted products such as cloth, lace, carpets, rope, industrial fabric, hosiery and knitted garments or to quilt and embroider fabric. This unit group also includes workers who perform activities such as reproducing patterns, drawing-in and tying warps and setting up looms. They are employed by textile companies and by garment and mattress manufacturing companies.","['Set up looms or other processing machines', 'Read loom patterns and prepare loom pattern mechanisms for processing', 'Operate looms to weave yarn or thread into textile fabrics or products', 'Operate machines that produce twine, ropes or nets', 'Operate batteries of knitting machines to produce knitted fabric, hosiery, garments or other products', 'Operate carpet tufting machines, felt making needle-punch machines and other machines to produce textile products', 'Operate large automatic multi-needle machines to embroider material or to sew lengths of several layers of material to make yard goods, quilts or mattress coverings', 'Patrol machines and check fabrics or products for defects and to verify efficient operation', 'Investigate machine stoppages', 'Repair minor mechanical problems such as broken or defective needles', 'Notify supervisor or repairers of mechanical malfunctions.']","['embroidery machine operator', 'hosiery knitter', 'knitter - textiles', 'knitting machine operator', 'loom operator', 'mattress sewing machine operator', 'quilting machine operator', 'weaver - textiles', 'warp knitting machine tender', 'carpet weaver', 'warp tier-in', 'tufting operator', 'pinning machine operator', 'drawing-in machine operator', 'drawer-in - textiles']","['Artisans and craftspersons', 'Supervisors, textile, fabric, fur and leather products processing and manufacturing', 'Construction millwrights and industrial mechanics', 'Industrial sewing machine operators']"
NOC 9472,"Camera and platemaking workers operate graphic arts cameras and scanners, assemble film and negatives and prepare, engrave and etch printing plates or cylinders for various types of printing presses. They are employed in firms that specialize in colour graphics or platemaking and cylinder preparation, commercial publishing and printing companies, newspapers, magazines, and in various establishments in the public and private sectors that have in-house printing departments.","['Graphic arts camera operators', 'Set up and adjust black and white or colour separation process cameras to convert graphic art and photographs into film for assembly and exposure onto printing plates or cylinders.', 'Cylinder preparers', 'Grind and polish press cylinders; expose and lay down carbon tissue; and etch or engrave cylinders using hand tools, etching machines, photogravure or laser processes to produce cylinders for gravure presses.', 'Film strippers and assemblers', 'Assemble and position, either using automated equipment or by hand, pieces of film containing all parts of a printing job to produce flats or composite negatives for preparing printing plates or cylinders.', 'Platemakers', 'Operate vacuum frames, plate processors and step and repeat machines to produce printing plates for various types of presses.', 'Prepress technicians', 'Operate various computer-controlled studio systems to perform colour separation, retouching and editing that allow changes to be made to a colour negative for printing purposes, plan page layouts and electronically alter shape, size and positions of illustrations and text.', 'Scanner operators', 'Operate computerized scanning machines or digital cameras to make colour separations and corrections from colour copy or transparencies for use in preparing film, digital files, printing plates or cylinders.', 'Proofmakers', ""Operate computerized equipment to prepare film, laser or dylux proofs for quality control purposes or for customers' review.""]","['dot etcher - printing', 'platemaker - printing', 'prepress technician', 'pre-flight operator - printing', 'file preparation operator', 'camera operator - graphic arts', 'cylinder preparer - printing', 'printing plate engraver', 'screenmaker', 'studio-image-processing system operator', 'film stripper-assembler', 'proofmaker']","['Graphic designers and illustrators', 'Supervisors, printing and related occupations', 'Photographic and film processors', 'Desktop publishing operators and related occupations', 'Graphic arts technicians']"
NOC 9524,"Assemblers in electrical appliance, apparatus and equipment manufacturing assemble prefabricated parts to produce household, commercial and industrial appliances and equipment. Inspectors inspect and test assembled products. This unit group also includes workers who set up and prepare assembly lines for operation. They are employed by electrical appliance and electrical equipment manufacturing companies.","['Assemblers', 'Assemble prefabricated parts on an assembly line, or at work benches using screw guns and other hand and power tools', 'Assemble small and large household electrical appliances such as coffeemakers, toasters, vacuum cleaners, lawn mowers, refrigerators and dishwashers', 'Assemble small transformers, small electrical motors and transmissions used in appliances or other electrical products', 'Assemble circuit breakers, switches or other electrical control equipment and position and fasten components such as springs, toggles or other parts into assembly casings', 'Wind coils and armatures for small electric motors and transformers', 'Perform minor repairs to products rejected from production assembly line', 'Set up assembly line with materials and supplies required for production, and set up and adjust production tools.', 'Inspectors and testers', 'Check products at different stages of production for visual defects and faulty electrical and mechanical connections, or operate automatic or other testing equipment to ensure product quality', 'Identify and mark acceptable and defective assemblies and return faulty assemblies to production for repair', 'Collect, record and summarize inspection results.']","['hair dryer assembler', 'inspector, electrical appliance assembly', 'inspector, electrical controls assembly', 'lawn mower assembler, electric', 'assembler, electrical appliances', 'production assembler, electrical equipment', 'circuit breaker assembler', 'clothes dryer assembler, electric', 'coffee maker assembler', 'dishwasher assembler', 'refrigerator assembler, electric']","['Electrical mechanics', 'Assemblers, fabricators and inspectors, industrial electrical motors and transformers', 'Machine operators and inspectors, electrical apparatus manufacturing', 'Appliance servicers and repairers', 'Electronics assemblers, fabricators, inspectors and testers', 'Supervisors, electrical products manufacturing']"
NOC 2112,"Chemists conduct research and analysis in support of industrial operations, product and process development, quality control, environmental control, medical diagnosis and treatment, biotechnology, nanotechnology and other applications. They also conduct theoretical, experimental and applied research into basic chemical and biochemical processes to create or synthesize new products and processes. They are employed in research, development and quality control laboratories; chemical, petrochemical and pharmaceutical industries; mineral, metal and pulp and paper industries; and a wide variety of manufacturing, utility, health, educational and government establishments.","['Analyze, synthesize, purify, modify and characterize chemical or biochemical compounds', 'Develop and conduct programs of analysis to ensure quality control of raw materials, chemical intermediates or final products', 'Conduct programs of sample and data collection and analysis to identify and quantify environmental toxicants', 'Conduct research to develop new chemical formulations and processes and devise new technical applications of industrial chemicals and compounds', 'Conduct research to discover, develop, refine and evaluate new products such as those used in nanomedicine, nanoelectronics and other applications of chemistry', 'Conduct fundamental and applied research into the synthesis and properties of chemical compounds and the mechanisms of chemical reactions', 'Investigate chemical aspects of the mechanisms of drug action, the diagnosis and treatment of disease, organ function and the assessment of health', 'Participate in interdisciplinary research and development projects working with chemical engineers, biologists, microbiologists, agronomists, geologists or other professionals', 'Act as technical consultant in a particular field of expertise', 'May participate in the commercialization of new products', 'May supervise other chemists and chemical technicians and technologists.']","['clinical chemist', 'coatings chemist', 'electrochemist', 'environmental chemist', 'food chemist', 'inorganic chemist', 'nuclear magnetic resonance (NMR) spectroscopist', 'oceanographic chemist', 'organic chemist', 'organic mass spectrometrist', 'organometallic chemist', 'pharmacological chemist', 'physical chemist', 'polymer chemist', 'quality control chemist', 'research chemist', 'soil chemist', 'textile chemist', 'theoretical chemist', 'agricultural chemist', 'analytical chemist', 'biochemist', 'chemist', 'bioanalytical chemist', 'medicinal chemist']","['Architecture and science managers', 'Geoscientists and oceanographers', 'Other professional occupations in physical sciences', 'Biologists and related scientists', 'Chemical engineers']"
NOC 8221,"Supervisors in mining and quarrying supervise and co-ordinate activities of workers engaged in underground and surface mining operations and quarries. They are employed by coal, metal and non-metallic mineral mines and quarries.","['Supervise, co-ordinate and schedule the activities of workers who extract coal, minerals and ore; operate underground conveyances; and perform other services in support of underground mining, or of heavy equipment operators, drillers, blasters and other workers in surface mining and quarrying', 'Establish methods to meet work schedules and confer with managerial and technical personnel, other departments and contractors to resolve problems and co-ordinate activities', 'Oversee the safety of the mining or quarrying operations', 'Resolve work problems and recommend measures to improve productivity', 'Requisition materials and supplies', 'Train workers in job duties, safety procedures and company policies', 'Recommend personnel actions such as hirings and promotions', 'Prepare production and other reports.']","['mine captain', 'foreman/woman, underground mine', 'mine foreman/woman', 'supervisor, mine', 'supervisor, quarry', 'supervisor, surface mine', 'fill foreman/woman - underground mining', 'track boss - underground mining']","['Managers in natural resources production and fishing', 'Drillers and blasters - surface mining, quarrying and construction', 'Underground production and development miners', 'Mine labourers', 'Heavy equipment operators (except crane)', 'Underground mine service and support workers']"
NOC 8232,"Oil and gas well drillers and well servicers control the operation of drilling and hoisting equipment on drilling and service rigs, and direct the activities of the rig crew under supervision of the rig manager. Oil and gas well loggers, testers and related workers operate specialized mechanical or electronic equipment, tools or instruments to provide services in conjunction with well drilling, completion or servicing. They are employed by drilling and well service contractors, petroleum producing companies and well logging or testing companies.","['Oil and gas well drillers and well servicers', 'Direct rig crew in setting up rigs and drilling, completing or servicing oil and gas exploration and producing wells', 'Operate controls of drill or service rig drilling and hoisting machinery', 'Train or arrange for training of crew', 'Maintain records of drilling and servicing operations', 'Ensure safety procedures are followed.', 'Oil and gas well loggers, testers and related workers', 'Drive well service or wireline truck to well site', 'Assemble and attach equipment, tools or recorders to drill stem or wireline to conduct required procedures and tests', 'Operate or direct the operation of wireline or unit controls to lower, position and retrieve equipment and instruments', 'Operate recorders and computers in mobile testing or logging unit to collect data', 'May perform limited data interpretation.']","['assistant driller - oil and gas well drilling', 'driller - oil and gas drilling', 'electric line operator', 'logging and perforating operator', 'directional drilling operator', 'downhole tool operator', 'drill stem tester', 'service rig operator', 'slickline operator', 'well testing operator', 'wireline operator']","['Water well drillers', 'Oil and gas well drilling and related workers and services operators', 'Contractors and supervisors, oil and gas drilling and services']"
NOC 8262,Fishermen/women operate fishing vessels less than 100 gross tonnes to pursue and land fish and other marine life. They are usually self-employed owner-operators of fishing vessels.,"['Operate fishing vessel to pursue and catch fish and other marine life', 'Select area for fishing, plot courses and compute navigational positions using compasses and charts or electronic fishing aids', 'Steer vessel and operate navigational instruments', 'Operate fishing gear, direct fishing operation and supervise fishing crew members', 'Maintain engine, fishing gear and other on-board equipment', 'Record fishing activities, weather and sea conditions', 'Estimate costs of operations and plan budget for each fishing season', 'Establish fish marketing plan and keep records of all financial transactions', 'May transport fish to processing plants or fish buyers.']","['fisherman/woman', 'fishing vessel skipper', 'inshore fisherman/woman', 'lobster fisherman/woman', 'longliner fisherman/woman', 'seiner fisherman/woman']","['Fishing vessel deckhands', 'Fishing masters and officers']"
NOC 8442,Trappers and hunters trap and hunt wild animals for pelts or live sale. They are usually self-employed and work on a seasonal basis.,"['Trappers', 'Set traps with bait and position traps along trails', 'Operate snowmobiles or travel on foot, snowshoes or skis to patrol trapline', 'Remove catch and reset traps and snares', 'Kill and skin catch for pelts, and treat and pack pelts for marketing', 'Trap live animals for sale to buyers or for relocation purposes', 'Maintain and repair trapping equipment', 'Maintain trails and access to trapping lines', 'Trap designated animals for bounty or other control programs', 'May monitor animal population in the trapping regions to ensure future sustainability.', 'Hunters', 'Operate boats or snowmobiles or travel on foot to reach hunting areas', 'Pursue animals by observing and recognizing tracks, trails, animal droppings or broken foliage', 'Train dogs for hunting', 'Kill wild animals using firearms or other weapons', 'Skin dead animals for pelts using knives', 'Treat, pack and transport pelts to processing plants or to public auctions', 'Maintain hunting equipment', 'May monitor animal population in the hunting regions to ensure future sustainability.', 'Trappers and hunters may specialize in trapping or hunting a particular kind of animal.']","['sealer', 'hunter', 'trapper', 'fur trapper', 'game trapper']","['Outdoor sport and recreational guides', 'Pest controllers and fumigators']"
NOC 8612,"Landscaping and grounds maintenance labourers perform work to assist in the construction of landscapes and related structures, and to maintain lawns, gardens, athletic fields, golf courses, cemeteries, parks, landscaped interiors and other landscaped areas. They are employed by landscaping and lawn care companies, golf courses, cemeteries, and landscaping operations of public works departments and private establishments.","['Spread top soil, lay sod, plant flowers, grass, shrubs and trees and perform other duties to assist with the construction of a landscape and related structures', 'Cut grass, rake, aerate, dethatch, fertilize and water lawns, weed gardens, prune shrubs and trees and perform other maintenance duties as directed by supervisor', 'Maintain lawns and grass along roadsides', 'Operate and maintain power mowers, tractors, chain saws, electric clippers, sod cutters, pruning saws, snowblowers and other landscape maintenance equipment', 'Spray and dust trees, shrubs, lawns and gardens, as directed, to control insects and disease', 'Perform other manual duties to clean and maintain landscaped environments.']","['park maintenance labourer', 'grounds maintenance worker', 'landscape labourer', 'gardening helper', 'grass cutter', 'maintenance worker, parks', 'golf course worker', 'sod layer', 'cemetery labourer', 'transplanter - landscape maintenance', 'bulb planter - landscaping']","['Public works maintenance equipment operators and related workers', 'Residential and commercial installers and servicers', 'Public works and maintenance labourers', 'Other trades helpers and labourers', 'Landscape and horticulture technicians and specialists', 'Nursery and greenhouse workers']"
NOC 8615,"Oil and gas drilling, servicing and related labourers carry out a variety of general labouring duties and operate equipment to assist in the drilling and servicing of oil and gas wells. This unit group also includes labourers who assist in geophysical prospecting for oil and gas. They are employed by drilling and well servicing contractors and by petroleum producing companies.","['Manipulate sections of pipe or drill stem at the rig floor during drilling and during the removal and replacement of strings of pipe or drill stem and drill bit', 'Maintain drilling equipment on the drill floor', 'Handle, sort and move drill tools, pipe, cement and other materials', 'Clean up rig areas', 'Assist in setting up, taking down and transporting drilling and service rigs and service equipment', 'May drive trucks to transport materials and well service equipment.']","['wireline helper', 'labourer, oil field', 'service rig helper', 'floorman/woman - oil and gas drilling', 'leasehand', 'roughneck', 'roustabout', 'shakerhand', 'well treatment helper', 'swamper - oil and gas']","['Oil and gas well drillers, servicers, testers and related workers', 'Oil and gas well drilling and related workers and services operators']"
NOC 9215,"Supervisors in forest products processing supervise and co-ordinate the activities of workers engaged in pulp and paper production and wood processing and manufacturing. They are employed by pulp and paper companies, paper converting companies, sawmills, planing mills, wood treatment plants, waferboard plants and other wood processing companies.","['Supervise, co-ordinate and schedule the activities of workers who operate pulp and paper mills, paper converting mills, sawmills, planing mills, plywood, waferboard and other wood and paper products mills', 'Ensure that systems and equipment are operating efficiently and that proper maintenance and repairs are performed', 'Establish methods to meet work schedules and co-ordinate work activities with other departments', 'Resolve work problems and recommend measures to improve productivity and product quality', 'Requisition materials and supplies', 'Train staff in job duties, safety procedures and company policies', 'Recommend personnel actions such as hirings and promotions and administer the collective agreement', 'Prepare production and other reports', 'Monitor safety conditions', 'May set up machines and equipment.']","['paper machine foreman/woman', 'foreman/woman, waferboard', 'waferboard foreman/woman', 'coating room foreman/woman - pulp and paper', 'foreman/woman, plywood making', 'sawmill foreman/woman', 'shingle mill foreman/woman', 'foreman/woman, wood treating plant', 'paper mill foreman/woman', 'pulp mill foreman/woman', 'shift operating supervisor - pulp and paper', 'supervisor, paper converting', 'tour foreman/woman - pulp and paper', 'foreman/woman, lumber grading - wood processing']",['Manufacturing managers']
NOC 9223,"Supervisors in electrical products manufacturing supervise and co-ordinate the activities of workers who assemble, fabricate and inspect electrical components, appliances, motors and industrial equipment. They are employed by companies that manufacture electrical products.","['Supervise, co-ordinate and schedule the activities of workers who assemble, fabricate and inspect various types of electrical apparatus and equipment such as electrical appliances, batteries, electric motors, transformers and generators and electrical switchgear and control equipment', 'Establish methods to meet work schedules and co-ordinate work activities with other departments', 'Resolve work problems and recommend work measures to improve productivity', 'Requisition materials and supplies', 'Train staff in job duties, safety procedures and company policies', 'Recommend personnel actions such as hirings and promotions', 'Prepare production and other reports', 'May set up machines and equipment.']","['supervisor, electrical appliance assembly', 'supervisor, electrical equipment manufacturing', 'switchgear assembly foreman/woman', 'electrical transformer assembly foreman/woman', 'foreman/woman, electrical motor assembly']","['Assemblers, fabricators and inspectors, industrial electrical motors and transformers', 'Supervisors, electronics manufacturing', 'Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing', 'Contractors and supervisors, electrical trades and telecommunications occupations']"
NOC 9232,"Central control and process operators in petroleum, gas and chemical processing monitor and operate petroleum, petrochemical and chemical plants and monitor, adjust and maintain processing units and equipment in these plants. They are employed by petroleum and natural gas processing, pipeline and petrochemical companies and industrial, agricultural and specialty chemical and pharmaceutical companies.","['Operate electronic or computerized control panel from a central control room to monitor and optimize physical and chemical processes for several processing units', 'Control process start-up, shut-down and troubleshooting', 'Monitor outside process equipment', 'Adjust equipment, valves, pumps and controls and process equipment', 'Authorize or co-sign maintenance work orders', 'Shut down, isolate and prepare process units or production equipment for maintenance', 'Sample products, perform tests, record data, carry out statistical process control on process operations, and write production logs', 'Develop operating procedures for normal operation, start-up or shut-down of unit', 'Participate in safety audits and programs and provide emergency response when required', 'Ensure adherence to safety and environmental regulations', 'May rotate between different processing units during shift cycles', 'May work in a team with shared supervisory responsibilities and participate in training other workers', 'May be cross-trained in a skilled trade and work in the trade during shift cycles.']","['chemical processing chief technician', 'gas plant operator', 'gas recovery operator', 'petroleum process operator', 'pharmaceutical processing operator', 'pipeline compressor station operator', 'master operator - chemical processing', 'acid plant operator', 'panel operator - chemical processing', 'chlor-alkali plant cell room operator', 'chemical process operator', 'chief technician, chemical processing', 'process technician - chemical processing', 'refinery process technician', 'gas field production operator', 'oil refinery process operator']","['Supervisors, petroleum, gas and chemical processing and utilities', 'Chemical plant machine operators']"
NOC 9421,"Chemical plant machine operators monitor and operate units and machinery to blend, mix, process and package a wide range of specialty chemicals, pharmaceuticals, cleaning and toiletry products. They are primarily employed in chemical, cleaning compound, ink and adhesive industries, but may also be employed by chemical processing departments in other industries.","['Monitor meters, gauges and electronic instrumentation on one or more chemical or formulation units, such as mixers, kettles, blenders, dryers, tabletting, encapsulation, granulation and coating machines', 'Measure, weigh and load chemical ingredients following formulation cards', 'Start up, shut down, troubleshoot and clean equipment', 'Adjust processing machines and equipment', 'Monitor reaction processes and transfers of products in conformance with safety procedures', 'Take samples and perform routine chemical and physical tests of products', 'Record production data', 'May operate equipment from a control room or from control consoles located near the production units.']","['blender - chemical processing', 'evaporator operator - chemical processing', 'mixer - chemical processing', 'screener - chemical processing', 'soap maker', 'batch mixer - chemical processing', 'capsule machine operator', 'granulator machine operator', 'glue blender', 'formulations blender operator']","['Supervisors, petroleum, gas and chemical processing and utilities', 'Central control and process operators, petroleum, gas and chemical processing']"
NOC 6421,"Retail salespersons sell, rent or lease a range of technical and non-technical goods and services directly to consumers. They are employed by stores and other retail businesses, as well as wholesale businesses that sell on a retail basis to the public.","['Greet customers and discuss type, quality and quantity of merchandise or services sought for purchase, rental or lease', 'Advise customers on use and care of merchandise, and provide advice concerning specialized products or services', 'Estimate or quote prices, credit terms, trade-in allowances, warranties and delivery dates', 'Prepare merchandise for purchase, rental or lease', 'Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment', 'Assist in display of merchandise', 'Maintain sales records for inventory control', 'Operate computerized inventory record keeping and re-ordering systems', 'May conduct sales transactions through Internet-based electronic commerce.', 'Retail salespersons may specialize and act as consultants in home entertainment systems, computers and other products and services.']","['car rental agent', 'retail sales clerk', 'retail sales associate', 'sales consultant - retirement homes', 'clothing salesperson', 'audio equipment salesperson', 'furniture salesperson', 'jewellery salesperson', 'hardware store clerk', 'counter clerk - retail', 'department store clerk', 'retail salesperson', 'automobile salesperson', 'computer salesperson - retail']","['Store shelf stockers, clerks and order fillers', 'Retail sales supervisors', 'Cashiers']"
